ID,default_risk,pred,pred_pay_amt
4,0.39014012,0,2000.0
13,0.20286497,0,1000.0
16,0.5307308,1,0.0
19,0.5563239,1,0.0
25,0.27505684,0,5756.39
28,0.33966094,0,1300.0
33,0.26296756,0,3023.0
35,0.12116965,0,5006.015
38,0.3399633,0,1500.0
39,0.5158868,1,780.0
42,0.28343865,0,3000.0
44,0.26870286,0,3000.0
47,0.44147268,0,3000.0
48,0.24968033,0,1012.775
53,0.21165444,0,7874.82
60,0.33458078,0,17001.835
61,0.22343493,0,1515.99
64,0.28394216,0,1000.0
72,0.89542,1,2500.0
74,0.5241663,1,0.0
77,0.44558087,0,1759.085
81,0.2623908,0,6399.75
88,0.30669543,0,1146.98
91,0.8993386,1,6300.0
95,0.45588884,0,1936.875
96,0.3275462,0,3621.61
98,0.18897168,0,4031.005
101,0.4156742,0,10211.925
104,0.40172756,0,1766.975
112,0.41889632,0,2000.0
113,0.8488475,1,6500.0
117,0.45045862,0,326.0
125,0.47030926,0,1403.71
139,0.32319218,0,299.995
146,0.42279774,0,1000.0
153,0.52770984,1,2905.425
163,0.54517674,1,396.0
165,0.3896396,0,3000.0
167,0.1634086,0,15384.635
182,0.22901273,0,12501.765
190,0.7413683,1,0.0
193,0.29770377,0,198.98
194,0.34420666,0,37905.86
195,0.38802865,0,2000.0
196,0.78499377,1,1900.0
197,0.4414675,0,0.0
207,0.4901583,0,1473.0
216,0.49165145,0,390.0
224,0.15376483,0,10041.995
228,0.485928,0,1608.97
235,0.4079525,0,1505.87
238,0.32883576,0,0.0
240,0.28415084,0,3000.0
245,0.6480399,1,354.835
247,0.30715626,0,1630.89
249,0.30431756,0,2503.99
258,0.31191972,0,2452.91
259,0.29775307,0,0.0
260,0.82461673,1,10000.0
262,0.366077,0,1602.07
285,0.22995594,0,5000.0
290,0.28076917,0,1295.015
302,0.3578746,0,0.0
308,0.4033053,0,5215.4
310,0.22569631,0,13808.515
328,0.86605066,1,3800.0
337,0.23776622,0,10000.0
350,0.45458543,0,1410.955
353,0.55289865,1,0.0
354,0.31383497,0,3174.92
363,0.8184988,1,0.0
364,0.63311565,1,0.0
365,0.5425349,1,300.0
366,0.5040175,1,1528.955
367,0.3375002,0,3000.0
370,0.84798443,1,0.0
373,0.4908658,0,1640.005
377,0.66193134,1,0.0
378,0.24006872,0,14000.0
383,0.20511773,0,3000.0
385,0.27788505,0,10009.83
395,0.20216408,0,25000.0
398,0.3719099,0,0.0
400,0.8648799,1,4007.02
419,0.3207556,0,3629.005
426,0.30970356,0,0.0
427,0.8367384,1,3000.0
428,0.57700783,1,199.0
430,0.22172774,0,6000.0
439,0.3440903,0,2500.0
449,0.14648871,0,5000.0
450,0.3583489,0,4505.015
451,0.5648193,1,0.0
453,0.26921877,0,14000.08
464,0.17782815,0,119972.845
467,0.2579901,0,8907.325
474,0.74194545,1,1800.0
483,0.3967365,0,2111.93
490,0.2034856,0,6277.13
491,0.36809474,0,156.795
496,0.4070435,0,1000.0
505,0.27857426,0,0.0
511,0.43401548,0,1261.0
514,0.89416444,1,2000.0
517,0.33485457,0,3059.865
531,0.3464227,0,2836.17
532,0.46329376,0,2453.95
538,0.31345466,0,5416.945
552,0.22381355,0,0.0
556,0.19260944,0,38115.535
572,0.35894722,0,2039.625
581,0.53205854,1,780.0
582,0.24698298,0,15154.27
590,0.14257897,0,23185.18
592,0.23156703,0,4000.0
593,0.4136321,0,1126.84
595,0.3075899,0,2680.915
596,0.23225638,0,5088.775
597,0.3150846,0,9429.17
598,0.5195856,1,0.0
599,0.80696696,1,3248.49
603,0.4160821,0,1323.055
607,0.3604266,0,1350.885
609,0.20380747,0,9121.56
610,0.49645898,0,390.0
622,0.46076205,0,0.0
636,0.4243632,0,227.94
641,0.27295107,0,6900.01
644,0.23842676,0,20000.0
645,0.49857688,0,3200.0
648,0.25519124,0,3100.0
649,0.8513,1,0.0
655,0.42559636,0,2500.0
663,0.2850188,0,40001.405
665,0.70960385,1,2000.0
666,0.28529325,0,5539.835
677,0.89433974,1,15000.0
678,0.13140018,0,52142.295
679,0.3277383,0,1086.86
683,0.30505377,0,1250.005
688,0.25740793,0,7500.0
689,0.2842049,0,4309.795
696,0.3458989,0,0.0
697,0.36393,0,1267.0
698,0.45157272,0,0.0
699,0.13393341,0,41311.535
702,0.32702035,0,105.015
703,0.3774567,0,2000.0
721,0.35061002,0,5300.0
732,0.25623235,0,6000.0
734,0.46865565,0,316.005
735,0.34949017,0,2305.965
739,0.25679874,0,4345.515
740,0.84029454,1,3000.0
745,0.18161374,0,10000.0
751,0.4715295,0,0.0
757,0.23571673,0,2000.0
758,0.7708612,1,1222.005
759,0.24184287,0,1508.995
766,0.39477637,0,1117.025
771,0.17553589,0,15205.635
774,0.27934238,0,5498.77
777,0.20446786,0,16244.35
782,0.51775354,1,2184.14
800,0.27074766,0,2000.0
802,0.7982538,1,0.0
815,0.7872297,1,3000.0
820,0.21232489,0,4145.255
832,0.77205104,1,0.0
834,0.25663844,0,0.0
838,0.338981,0,1600.0
843,0.33766204,0,0.0
846,0.21219791,0,4738.865
863,0.85881597,1,0.0
865,0.26657456,0,1738.875
870,0.29966226,0,12011.86
875,0.5488643,1,0.0
880,0.84430885,1,1300.0
883,0.24027416,0,8750.415
885,0.3781777,0,2929.57
901,0.36213967,0,2500.0
906,0.4435824,0,3135.795
917,0.29331383,0,2087.055
928,0.40307873,0,1895.985
934,0.86190665,1,1500.0
936,0.30889982,0,2000.0
938,0.46828043,0,0.0
939,0.6190737,1,0.0
942,0.4078606,0,1261.0
945,0.30259252,0,3955.33
947,0.28959045,0,8130.93
950,0.40856698,0,0.0
958,0.36968976,0,1120.005
968,0.3211528,0,4101.22
973,0.8233098,1,2709.995
980,0.29696468,0,5500.0
982,0.8102259,1,0.0
985,0.40563414,0,2500.0
986,0.4205741,0,6433.73
987,0.20895183,0,6067.02
991,0.5022318,1,7875.585
993,0.29883388,0,2200.0
999,0.45380098,0,0.0
1002,0.20077413,0,5000.0
1005,0.21627985,0,9663.07
1006,0.37699392,0,2023.935
1007,0.26013154,0,4077.175
1012,0.50848365,1,2050.97
1014,0.30129355,0,2000.0
1016,0.25929192,0,5000.0
1018,0.7639183,1,6743.165
1023,0.23209815,0,5000.0
1024,0.2921254,0,1218.925
1030,0.87127745,1,0.0
1037,0.19642134,0,78031.05
1041,0.38406923,0,0.0
1052,0.15488373,0,10000.0
1069,0.2403659,0,1086.1
1070,0.5352226,1,4500.0
1086,0.38620684,0,9600.19
1092,0.25644615,0,6845.37
1093,0.42211634,0,0.0
1099,0.4033831,0,0.0
1100,0.27698776,0,2000.0
1103,0.44518435,0,2933.93
1122,0.73565483,1,2000.0
1130,0.4984077,0,1841.83
1131,0.2623331,0,8912.09
1134,0.8671308,1,4700.0
1140,0.23624095,0,10000.0
1142,0.47981682,0,3000.0
1148,0.4909744,0,0.0
1153,0.9045087,1,2500.0
1155,0.65884906,1,0.0
1157,0.28331158,0,2639.93
1164,0.18939626,0,14000.01
1177,0.4340988,0,1700.0
1178,0.25913018,0,2932.125
1181,0.37693268,0,0.0
1186,0.41737872,0,1103.84
1188,0.4449695,0,1845.555
1198,0.52322114,1,0.0
1200,0.34202224,0,394.15
1203,0.2692112,0,10004.955
1205,0.23528525,0,4037.51
1211,0.2078132,0,6999.94
1212,0.53428954,1,390.0
1223,0.31508976,0,0.0
1230,0.34360307,0,1388.0
1232,0.24532087,0,2700.0
1235,0.24333844,0,11000.0
1237,0.7890997,1,4145.625
1239,0.27051175,0,5000.0
1251,0.2727236,0,8999.835
1257,0.53391385,1,370.745
1258,0.21396741,0,4369.005
1259,0.5686144,1,291.0
1267,0.28854436,0,7199.985
1272,0.6421939,1,0.0
1277,0.23882659,0,6025.955
1281,0.16947973,0,3030.945
1282,0.58025354,1,0.0
1284,0.32499567,0,2113.745
1285,0.23359236,0,3513.12
1291,0.390407,0,0.0
1300,0.4340728,0,0.0
1306,0.36724928,0,435.155
1309,0.4963285,0,2653.88
1317,0.19017985,0,6378.51
1325,0.29495072,0,2000.0
1326,0.6284106,1,316.03
1329,0.2869608,0,5600.0
1330,0.51097614,1,2017.98
1334,0.35214767,0,1012.775
1348,0.16576357,0,17999.535
1350,0.6581844,1,0.0
1355,0.37018985,0,1139.95
1357,0.2793241,0,2100.0
1369,0.8477433,1,6000.0
1370,0.36654615,0,0.0
1372,0.2361953,0,1500.0
1373,0.8812748,1,0.0
1374,0.28992188,0,3000.0
1377,0.42868933,0,1150.0
1384,0.15355937,0,83720.85
1395,0.31051612,0,2000.0
1397,0.61402726,1,0.0
1398,0.36944658,0,1012.04
1403,0.36424205,0,2500.0
1404,0.2536099,0,11605.045
1408,0.24235858,0,4022.935
1410,0.42728657,0,565.01
1413,0.376097,0,1522.03
1414,0.17434359,0,7609.11
1416,0.32958746,0,3000.0
1421,0.21763071,0,1900.01
1430,0.25672385,0,6501.925
1431,0.34325698,0,2200.0
1446,0.80601186,1,0.0
1454,0.47889805,0,1500.0
1460,0.48420307,0,2233.98
1466,0.35104463,0,2579.78
1468,0.5842284,1,148.335
1470,0.50453377,1,0.0
1472,0.41287363,0,5000.0
1475,0.2646932,0,5300.0
1476,0.24954079,0,6533.415
1478,0.4330837,0,1158.865
1481,0.21444632,0,2659.02
1497,0.8557761,1,14696.265
1498,0.46730027,0,2260.05
1503,0.39197037,0,0.0
1507,0.46807334,0,350.775
1510,0.8600831,1,2600.0
1524,0.89385384,1,1800.0
1542,0.50234866,1,0.0
1543,0.2945184,0,4178.385
1545,0.55836844,1,0.0
1552,0.22067985,0,2000.0
1553,0.43258497,0,1179.005
1556,0.13106412,0,33648.62
1563,0.29956502,0,4000.0
1573,0.47964713,0,3700.0
1576,0.3236689,0,4500.0
1590,0.22715695,0,2587.565
1593,0.22584675,0,8000.0
1595,0.41166496,0,500.0
1597,0.46726352,0,0.0
1598,0.35791713,0,7848.34
1605,0.25964564,0,2000.0
1606,0.29951653,0,0.0
1608,0.32003847,0,264.045
1613,0.1911309,0,15000.0
1614,0.4731631,0,320.575
1621,0.2895493,0,1269.995
1623,0.5398721,1,1500.0
1624,0.23004678,0,2081.02
1627,0.31639227,0,4000.0
1651,0.24217917,0,0.0
1656,0.36848396,0,1715.905
1658,0.39852598,0,2000.0
1668,0.6427957,1,44.88
1670,0.5863617,1,3102.865
1673,0.24918063,0,1200.01
1676,0.3380944,0,2851.91
1680,0.3721419,0,1500.0
1684,0.3473814,0,0.0
1687,0.252437,0,5300.065
1689,0.503842,1,2150.0
1708,0.1998559,0,4000.0
1722,0.58250755,1,2799.985
1723,0.83836627,1,4000.0
1724,0.2490228,0,0.0
1727,0.59131026,1,0.0
1729,0.5052866,1,1274.995
1743,0.32590947,0,0.0
1745,0.20005815,0,7228.415
1750,0.25121453,0,3000.0
1758,0.40844893,0,0.0
1761,0.41649586,0,0.0
1768,0.29679415,0,2000.0
1771,0.42817047,0,1236.0
1781,0.49682924,0,504.98
1788,0.17059445,0,10076.88
1789,0.25127485,0,4000.0
1796,0.5214269,1,0.0
1797,0.30782574,0,8643.06
1800,0.2839849,0,6899.925
1808,0.304853,0,1722.96
1825,0.46366477,0,6839.945
1826,0.31948313,0,0.0
1827,0.31084493,0,14346.365
1837,0.38272637,0,1376.03
1838,0.25118053,0,10700.135
1839,0.28383318,0,4353.095
1840,0.80114514,1,6600.0
1844,0.3910209,0,36112.545
1850,0.51891893,1,0.0
1851,0.42640147,0,2000.0
1852,0.22618484,0,14028.435
1856,0.3158664,0,3010.975
1858,0.2677697,0,8038.285
1865,0.15448585,0,18912.99
1878,0.13923196,0,20000.0
1884,0.310229,0,4000.0
1892,0.39109465,0,36298.69
1894,0.23690428,0,4000.0
1897,0.39069754,0,1503.99
1900,0.44935617,0,390.0
1901,0.37020844,0,2074.795
1902,0.5847994,1,0.0
1904,0.19357137,0,4000.0
1908,0.20400114,0,7128.665
1916,0.18281259,0,5008.975
1920,0.41859037,0,1000.0
1922,0.58155066,1,263.995
1924,0.22198759,0,6000.0
1929,0.30785438,0,1500.0
1933,0.40571493,0,2636.92
1935,0.7721339,1,169.94
1936,0.33842424,0,17598.13
1944,0.28309098,0,7261.06
1947,0.21751304,0,3600.0
1953,0.3585146,0,15109.81
1954,0.33262414,0,5500.0
1958,0.30389014,0,3535.88
1962,0.16906235,0,45669.41
1966,0.30738708,0,0.0
1967,0.6794005,1,3100.0
1984,0.5584541,1,0.0
1985,0.17512648,0,5000.0
1987,0.22202587,0,5000.0
1989,0.8843052,1,8408.125
1992,0.55597275,1,0.0
1993,0.74942064,1,25699.66
2010,0.541891,1,0.0
2013,0.8590554,1,0.0
2015,0.4146,0,390.0
2018,0.20772895,0,4000.0
2024,0.16291903,0,55143.76
2027,0.3290231,0,3045.6
2031,0.20485434,0,15000.0
2032,0.61272454,1,416.0
2033,0.105805755,0,30006.865
2035,0.4795511,0,800.835
2037,0.20045577,0,5000.0
2038,0.26704326,0,2500.0
2047,0.32930404,0,7006.09
2049,0.45370656,0,958.42
2050,0.34614652,0,1855.95
2051,0.6849669,1,0.0
2064,0.2961255,0,2800.0
2065,0.38287613,0,3825.455
2073,0.3485893,0,3000.0
2080,0.73523927,1,1000.0
2087,0.8635913,1,0.0
2090,0.91375726,1,3500.0
2095,0.79971546,1,1000.0
2102,0.9136104,1,2800.0
2117,0.4095896,0,567.715
2125,0.8168399,1,12614.995
2129,0.3901207,0,1725.03
2137,0.46855262,0,0.0
2143,0.7985852,1,3077.67
2144,0.8115668,1,1376.055
2148,0.42311996,0,4000.0
2152,0.26232937,0,3258.325
2156,0.8900697,1,11000.0
2158,0.21978475,0,3843.445
2159,0.3024405,0,2124.825
2164,0.5773022,1,6500.0
2168,0.8768552,1,8000.0
2174,0.3098003,0,2008.0
2176,0.35391355,0,3293.98
2188,0.5950915,1,3477.18
2194,0.16639549,0,10000.0
2196,0.47258726,0,2955.235
2201,0.7602843,1,4593.065
2203,0.38800806,0,1303.0
2210,0.34327847,0,2000.0
2213,0.5211259,1,1217.005
2216,0.38189125,0,0.0
2217,0.33508953,0,890.175
2219,0.8817954,1,300.0
2221,0.33522555,0,698.92
2227,0.34513733,0,11000.0
2231,0.4373931,0,2329.19
2235,0.7297088,1,2421.975
2249,0.5210615,1,877.92
2251,0.29995942,0,5000.0
2255,0.3246566,0,1206.76
2267,0.18365186,0,60265.0
2271,0.30159634,0,1500.0
2276,0.5124998,1,0.0
2280,0.5302589,1,0.0
2291,0.6703164,1,0.0
2296,0.56144017,1,0.0
2297,0.20913619,0,10000.0
2313,0.82486767,1,1480.01
2314,0.24031873,0,10000.0
2317,0.4854899,0,0.0
2320,0.2904188,0,0.0
2322,0.56531376,1,0.0
2326,0.37608486,0,29549.36
2333,0.8124879,1,3000.0
2336,0.3304267,0,1815.0
2337,0.34325695,0,30000.0
2348,0.1731688,0,5006.0
2350,0.30021438,0,5000.0
2354,0.27327457,0,3413.885
2360,0.24745503,0,26526.86
2362,0.30580562,0,5878.35
2367,0.3459578,0,47037.38
2373,0.45525298,0,1500.95
2375,0.88926846,1,1800.0
2379,0.5393579,1,2000.0
2384,0.3679781,0,1291.985
2386,0.19230749,0,3100.0
2388,0.37309703,0,2100.0
2392,0.30883518,0,1000.0
2394,0.47412446,0,3008.045
2397,0.47542873,0,2077.85
2409,0.35480398,0,0.0
2412,0.40768602,0,2935.855
2417,0.42362967,0,1855.015
2419,0.45730424,0,1300.0
2427,0.5976513,1,0.0
2430,0.4043574,0,3000.0
2438,0.8338943,1,1779.01
2446,0.4360773,0,0.0
